Address,20001,List Price,Close Price,Subsidy,BRs,Bas,1/2 Bas,Close Date
3240 HIATT PL NW #5,20010,"$699,000","$660,235",$0,2,2,0,9/29/2017
3566 13TH ST NW #2,20010,"$699,900","$699,900",$0,2,2,0,9/5/2017
1390 KENYON ST NW #323,20010,"$515,000","$500,000",$0,2,2,0,9/15/2017
1519 PARK RD NW #B5,20010,"$374,990","$365,976","$7,176",2,1,1,9/29/2017
743 IRVING ST NW,20010,"$675,000","$640,000",$0,3,1,0,9/5/2017
612 KEEFER PL NW,20010,"$670,000","$669,000","$20,070",4,2,1,9/25/2017
1319 SPRING RD NW,20010,"$625,000","$635,000",$0,3,1,1,9/22/2017
1004 MONROE ST NW,20010,"$869,750","$853,000","$2,000",3,1,2,9/5/2017
1752 PARK RD NW #B,20010,"$524,555","$510,000",$0,2,1,0,9/6/2017
1201 KENYON ST NW #4,20010,"$1,149,999","$1,050,000",$0,3,3,0,9/22/2017
3114 PARK PL NW,20010,"$699,000","$699,000",$0,3,2,1,9/22/2017
1339 IRVING ST NW #C,20010,"$779,000","$770,000",$750,2,2,0,9/19/2017
623 KENYON ST NW #2,20010,"$850,000","$835,000",$0,3,3,0,9/8/2017
3321 HOLMEAD PL NW #3,20010,"$539,000","$525,000",$600,2,2,0,9/29/2017
1110 PARK RD NW,20010,"$1,139,000","$1,115,000",$0,4,3,1,9/19/2017
3532 11TH ST NW,20010,"$799,000","$799,000","$6,750",3,2,1,9/8/2017
3426 16TH ST NW #608,20010,"$539,000","$545,200",$0,2,1,0,9/6/2017
1201 KENYON ST NW #1,20010,"$534,999","$523,900",$0,2,2,0,9/8/2017
430 IRVING ST NW #203,20010,"$165,000","$175,000","$1,500",0,1,0,9/22/2017
1221 KENYON ST NW #3,20010,"$850,000","$800,000",$0,2,2,0,9/18/2017
3101 SHERMAN AVE NW ##205,20010,"$455,000","$457,500",$0,2,2,0,9/27/2017
430 IRVING ST NW #206,20010,"$295,000","$310,000",$0,1,1,0,9/22/2017
3617 13TH ST NW,20010,"$849,000","$849,000",$0,3,2,1,9/12/2017
1822 KENYON ST NW,20010,"$975,000","$1,051,000",$0,4,3,1,9/13/2017
1457 PARK RD NW #102,20010,"$297,000","$297,000","$4,455",1,1,0,9/28/2017
3318 SHERMAN AVE NW #108,20010,"$349,900","$367,500",$0,1,1,1,9/22/2017
3536 NEW HAMPSHIRE AVE NW,20010,"$750,000","$750,000",$0,4,2,0,9/30/2017
1438 MERIDIAN PL NW #302,20010,"$375,000","$390,000",$0,2,1,0,9/12/2017
3324 18TH ST NW #11,20010,"$349,000","$380,000",$0,1,1,0,9/21/2017
,,,,,,,,
509 SHERIDAN ST NW,20011,"$389,000","$375,000",$0,3,1,0,9/30/2017
1243 ROCK CREEK FORD RD NW,20011,"$343,200","$377,000",$0,4,2,0,9/29/2017
816 KENNEDY ST NW #4,20011,"$599,999","$590,000","$2,000",3,3,0,9/27/2017
809 QUACKENBOS ST NW,20011,"$494,500","$470,000",$0,3,2,0,9/28/2017
1114 GALLOWAY ST NE,20011,"$399,000","$351,000",$0,3,1,1,9/15/2017
909 DELAFIELD PL NW,20011,"$699,000","$685,000",$0,4,3,1,9/15/2017
3920 ILLINOIS AVE NW,20011,"$799,000","$785,000","$10,800",3,3,0,9/19/2017
606 TUCKERMAN ST NW,20011,"$442,500","$415,000","$5,000",3,1,0,9/8/2017
7 GRANT CIR NW #1,20011,"$799,900","$750,000",$0,4,3,0,9/13/2017
7 GRANT CIR NW #2,20011,"$899,900","$859,000",$0,4,3,0,9/15/2017
1343 SOMERSET PL NW,20011,"$729,900","$680,000",$0,4,4,0,9/29/2017
620 JEFFERSON ST NW,20011,"$529,957","$516,000","$15,480",3,2,0,9/29/2017
939 LONGFELLOW ST NW #5,20011,"$150,000","$130,000",$0,1,1,0,9/5/2017
5224 4TH ST NW #202,20011,"$312,824","$311,000","$11,000",1,1,0,9/13/2017
5621 9TH ST NW,20011,"$480,000","$485,000",$0,3,2,0,9/7/2017
4315 ARGYLE TER NW,20011,"$995,000","$995,000","$8,000",3,2,2,9/8/2017
1761 TAYLOR ST NW,20011,"$1,050,000","$1,010,000",$0,4,4,1,9/1/2017
408 RITTENHOUSE ST NW,20011,"$615,000","$610,000","$5,000",4,3,1,9/22/2017
613 KENSINGTON PL NE,20011,"$355,000","$355,500",$0,3,1,1,9/15/2017
5514 2ND ST NW,20011,"$643,900","$636,000","$4,300",4,3,1,9/11/2017
5423 8TH ST NW,20011,"$525,000","$520,000","$15,000",3,2,0,9/15/2017
3812 13TH ST NW,20011,"$649,000","$669,000",$0,4,2,0,9/5/2017
5224 4TH ST NW #101,20011,"$295,650","$295,650",$0,1,1,0,9/1/2017
700 JEFFERSON ST NW #303,20011,"$219,900","$225,950",$0,1,1,0,9/27/2017
4805 4TH ST NW #2,20011,"$325,000","$326,500","$9,750",1,1,0,9/12/2017
6202 12TH ST NW,20011,"$699,900","$697,500","$10,000",4,3,1,9/1/2017
1305 HAMILTON ST NW,20011,"$700,000","$625,000",$0,3,2,0,9/20/2017
5508 NORTH CAPITOL ST NW,20011,"$979,000","$980,000",$0,6,4,1,9/12/2017
6208 SLIGO MILL RD NE,20011,"$599,999","$586,900","$10,000",3,2,0,9/18/2017
5331 16TH ST NW,20011,"$1,449,000","$1,370,000",$0,5,3,1,9/8/2017
4800 GEORGIA AVE NW #403,20011,"$337,000","$335,000","$5,000",1,1,0,9/29/2017
1212 DECATUR ST NW,20011,"$949,000","$919,000",$0,5,3,1,9/1/2017
607 OGLETHORPE ST NW,20011,"$599,900","$599,900",$0,4,2,1,9/8/2017
939 LONGFELLOW ST NW #208,20011,"$225,000","$205,000",$0,1,1,0,9/13/2017
515 ALLISON ST NW,20011,"$800,000","$792,500","$2,250",4,3,1,9/8/2017
726 SHEPHERD ST NW,20011,"$499,900","$595,000",$0,3,1,1,9/13/2017
1416 QUINCY ST NW,20011,"$899,999","$960,000",$0,4,3,1,9/4/2017
4222 3RD ST NW,20011,"$549,900","$535,000","$14,000",3,2,0,9/15/2017
4505 ARKANSAS AVE NW,20011,"$789,000","$795,000",$0,4,3,1,9/8/2017
4616 4TH ST NW,20011,"$440,000","$460,000",$0,3,1,1,9/11/2017
5015 4TH ST NW,20011,"$769,900","$759,000","$15,000",3,3,1,9/15/2017
1219 DELAFIELD PL NW,20011,"$1,275,000","$1,260,000","$15,000",5,4,1,9/21/2017
5604 CAPITOL ST NW,20011,"$649,500","$640,000","$10,000",4,3,1,9/15/2017
113 HAMILTON ST NW,20011,"$749,900","$744,000",$0,4,3,1,9/14/2017
532 SOMERSET PL NW,20011,"$420,000","$420,000",$0,3,2,0,9/25/2017
717 ONEIDA PL NW,20011,"$535,000","$494,885","$16,050",3,2,1,9/11/2017
4514 8TH ST NW,20011,"$659,900","$652,500",$0,3,3,0,9/11/2017
1317 KENNEDY ST NW,20011,"$450,000","$450,000",$0,4,1,2,9/5/2017
611 DELAFIELD PL NW,20011,"$450,000","$450,000",$0,4,2,0,9/18/2017
1300 TAYLOR ST NW #2,20011,"$430,000","$425,000","$12,750",2,2,0,9/12/2017
5501 5TH ST NE,20011,"$405,000","$412,000","$5,000",3,1,2,9/6/2017
314 MADISON ST NW,20011,"$724,000","$703,500","$2,000",4,3,1,9/20/2017
5710 7TH ST NW,20011,"$636,000","$636,000","$18,490",3,2,1,9/25/2017
1400 OGLETHORPE ST NW #7,20011,"$275,000","$284,500",$0,1,1,0,9/15/2017
311 JEFFERSON ST NW,20011,"$469,000","$469,000",$0,3,2,0,9/19/2017
312 TAYLOR ST NW,20011,"$774,900","$805,000",$0,4,3,1,9/19/2017
1410 BUCHANAN ST NW,20011,"$839,900","$835,000","$3,800",4,3,1,9/29/2017
1610 VARNUM ST NW,20011,"$1,195,000","$1,195,000",$0,4,3,1,9/29/2017
1204 QUINCY ST NW,20011,"$899,900","$917,500",$0,4,3,1,9/18/2017
333 OGLETHORPE ST NE,20011,"$449,900","$460,000","$10,000",3,2,1,9/25/2017
4108 14TH ST NW #3,20011,"$499,000","$511,000",$0,2,2,0,9/19/2017
6319 8TH ST NW,20011,"$400,000","$385,000",$0,4,2,0,9/15/2017
5608 KANSAS AVE NW,20011,"$430,000","$432,000",$0,3,1,1,9/27/2017
641 GALLATIN ST NW,20011,"$749,900","$752,000",$0,4,3,1,9/28/2017
,,,,,,,,
6445 LUZON AVE NW #510,20012,"$169,900","$165,000","$2,500",1,1,0,9/5/2017
6914 WILLOW ST NW,20012,"$565,000","$561,000",$0,2,2,0,9/18/2017
6650 BLAIR RD NW,20012,"$549,000","$549,000","$13,152",3,2,1,9/18/2017
6425 14TH ST NW #301,20012,"$365,000","$365,000",$0,2,1,0,9/22/2017
6510 N CAPITOL ST NW,20012,"$445,000","$458,350","$13,738",2,2,1,9/29/2017
343 CEDAR ST NW #103,20012,"$459,900","$455,000",$0,2,2,1,9/29/2017
1911 SUDBURY RD NW,20012,"$895,000","$880,000",$0,5,3,0,9/12/2017
1510 VAN BUREN ST NW,20012,"$999,950","$950,000",$0,5,4,2,9/20/2017
1255 VAN BUREN ST NW,20012,"$719,000","$719,000",$0,4,3,0,9/25/2017
7529 9TH ST NW,20012,"$499,000","$485,000","$4,500",3,1,1,9/25/2017
,,,,,,,,
3119 PATTERSON PL NW,20015,"$849,000","$800,000",$0,3,3,1,9/14/2017
5410 CONNECTICUT AVE NW #914,20015,"$287,000","$282,000",$0,1,1,0,9/29/2017
6931 33RD ST NW,20015,"$779,000","$797,500","$1,000",3,2,1,9/6/2017
5346 43RD ST NW,20015,"$1,185,000","$1,140,000","$25,000",3,2,1,9/29/2017
4114 JENIFER ST NW,20015,"$824,999","$799,000",$0,3,1,1,9/22/2017
3818 INGOMAR ST NW,20015,"$2,049,000","$2,010,000",$0,6,4,1,9/8/2017
3239 MILITARY RD NW,20015,"$785,000","$825,000",$0,3,2,0,9/14/2017
3270 ABERFOYLE PL NW,20015,"$1,149,000","$1,149,000","$8,000",5,3,1,9/7/2017
3606 QUESADA ST NW,20015,"$1,495,000","$1,450,000","$7,500",6,3,1,9/8/2017
2908 LEGATION ST NW,20015,"$899,000","$950,000",$0,4,2,1,9/8/2017
5201B WISCONSIN AVE NW #213,20015,"$375,000","$370,000",$0,1,1,0,9/11/2017
3009 DANIEL LN NW,20015,"$909,000","$909,000",$0,4,3,0,9/29/2017
5406 CONNECTICUT AVE NW #407,20015,"$209,990","$202,500",$500,0,1,0,9/21/2017
5201B WISCONSIN AVE NW #313,20015,"$375,000","$365,000",$0,1,1,0,9/12/2017
5365 29TH ST NW,20015,"$1,475,000","$1,575,000",$0,5,5,1,9/30/2017
,,,,,,,,
3924 MACOMB ST NW,20016,"$1,195,000","$1,175,000",$0,5,3,1,9/14/2017
5225 PARTRIDGE LN NW,20016,"$1,995,000","$2,040,000","$45,000",7,5,1,9/29/2017
3910 GARRISON ST NW,20016,"$1,595,000","$1,585,000","$35,000",4,3,1,9/1/2017
4712 YUMA ST NW,20016,"$970,000","$970,000",$0,6,6,0,9/1/2017
3101 NEW MEXICO AVE NW #803,20016,"$239,000","$222,000",$250,0,1,0,9/15/2017
4814 NEBRASKA AVE NW,20016,"$749,000","$740,000",$0,4,2,0,9/7/2017
3900 WATSON PL NW #B-1E,20016,"$432,900","$430,000",$150,2,2,0,9/29/2017
4905 RODMAN ST NW,20016,"$2,695,000","$2,570,000",$0,5,4,1,9/5/2017
4101 ALBEMARLE ST NW #446,20016,"$450,000","$450,000",$0,1,1,0,9/15/2017
3125 CHAIN BRIDGE RD NW,20016,"$3,999,000","$3,500,000",$0,7,7,1,9/11/2017
4201 CATHEDRAL AVE NW #206W,20016,"$249,900","$249,900","$7,497",1,1,0,9/8/2017
4330 46TH ST NW,20016,"$1,089,000","$1,089,000",$0,3,3,1,9/1/2017
5058 SEDGWICK ST NW,20016,"$2,100,000","$2,000,000",$0,4,3,0,9/29/2017
3680 38TH ST NW #A241,20016,"$379,000","$377,000",$0,1,1,1,9/15/2017
4200 MASSACHUSETTS AVE NW #404,20016,"$699,000","$650,000",$0,2,2,0,9/8/2017
4401 RIVER RD NW,20016,"$895,000","$895,000","$1,000",3,2,1,9/15/2017
4420 WINDOM PL NW,20016,"$999,990","$995,000",$0,4,2,2,9/20/2017
3101 NEW MEXICO AVE NW #530,20016,"$479,530","$475,000",$0,1,1,0,9/21/2017
3620 NORTON PL NW,20016,"$1,049,000","$1,067,500","$1,500",3,3,1,9/18/2017
3941 LANGLEY CT NW #F582,20016,"$449,000","$463,500",$0,2,1,0,9/8/2017
3812 BRANDYWINE ST NW,20016,"$725,000","$757,000",$0,3,2,0,9/8/2017
3831 RODMAN ST NW #A25,20016,"$519,000","$529,000",$0,2,2,0,9/13/2017
4000 CATHEDRAL AVE NW #809B,20016,"$580,000","$563,000",$0,2,2,0,9/29/2017
4849 BRANDYWINE ST NW,20016,"$799,000","$825,000",$0,2,1,1,9/22/2017
4200 CATHEDRAL AVE NW #1115,20016,"$220,000","$228,000",$0,1,1,0,9/29/2017
5030 GARFIELD ST NW,20016,"$1,189,000","$1,200,000",$0,4,3,1,9/29/2017
4515 DAVENPORT ST NW,20016,"$1,200,000","$1,250,000",$0,3,4,0,9/9/2017
4301 MASSACHUSETTS AVE NW #6014,20016,"$419,000","$419,000",$0,2,2,0,9/15/2017
3110 WISCONSIN AVE NW #703,20016,"$530,000","$530,000",$0,2,2,0,9/25/2017
,,,,,,,,
714 DECATUR PL NE,20017,"$439,900","$420,000",$0,3,1,1,9/1/2017
TOTTEN MEWS NE,20017,"$646,256","$640,216","$25,000",3,3,1,9/19/2017
TOTTEN MEWS NE,20017,"$621,460","$599,405","$25,000",3,3,1,9/20/2017
2929 12TH ST NE,20017,"$749,900","$710,000",$0,4,2,1,9/11/2017
711 JACKSON ST NE #4,20017,"$575,000","$550,000","$1,500",2,2,0,9/5/2017
2701 6TH ST NE,20017,"$699,000","$685,000","$13,700",4,2,0,9/8/2017
4402 13TH PL NE,20017,"$599,000","$570,000","$15,000",3,2,1,9/29/2017
2952 13TH ST NE,20017,"$829,000","$824,500","$24,735",4,3,1,9/29/2017
751 GALLATIN ST NE,20017,"$379,999","$379,999",$0,3,2,0,9/8/2017
4928 SARGENT RD NE,20017,"$585,000","$590,000","$2,000",3,2,1,9/8/2017
4713 10TH ST NE,20017,"$625,000","$612,500",$0,3,3,1,9/8/2017
600 ALLISON ST NE,20017,"$499,900","$475,000","$10,000",4,2,1,9/20/2017
87 HAWTHORNE CT NE #87,20017,"$239,900","$230,000","$5,000",1,1,0,9/8/2017
3033 CHANCELLOR'S WAY NE,20017,"$869,000","$850,000",$0,4,3,1,9/14/2017
1608 CRITTENDEN ST NE,20017,"$519,900","$519,900","$5,000",3,3,0,9/14/2017
3157 HAWTHORNE DR NE #3157,20017,"$345,000","$354,500",$0,2,2,0,9/1/2017
5051 SARGENT RD NE,20017,"$379,000","$368,000","$10,650",3,1,1,9/22/2017
TOTTEN MEWS NE,20017,"$620,000","$620,000","$25,000",3,3,1,9/21/2017
1240 LAWRENCE ST NE,20017,"$799,000","$798,500",$0,3,1,1,9/22/2017
1245 EMERSON ST NE,20017,"$479,000","$500,000","$10,000",3,1,1,9/11/2017
3219 12TH ST NE #102,20017,"$589,000","$585,000","$7,000",2,2,1,9/5/2017
837 CRITTENDEN ST NE,20017,"$619,999","$622,000",$0,4,3,1,9/1/2017
641 EMERSON ST NE,20017,"$514,900","$515,000",$0,2,2,0,9/18/2017
726 EMERSON ST NE,20017,"$529,900","$533,000",$0,3,2,0,9/5/2017
4005 7TH ST NE #2,20017,"$425,000","$430,000",$0,2,2,0,9/8/2017
711 JACKSON ST NE #3,20017,"$575,000","$550,000","$1,500",2,2,0,9/29/2017
78 HAWTHORNE CT NE #78,20017,"$275,000","$285,000","$4,500",1,1,0,9/15/2017
708 IRVING ST NE #101,20017,"$399,900","$417,500",$0,2,2,0,9/18/2017
3205 12TH ST NE #101,20017,"$499,900","$490,000",$0,2,2,1,9/29/2017
4713 12TH ST NE,20017,"$649,500","$649,500",$0,3,3,1,9/18/2017
5077 8TH ST NE,20017,"$379,000","$389,000",$0,3,1,0,9/8/2017
400 EVARTS ST NE #304,20017,"$259,900","$285,000",$0,1,1,0,9/29/2017
TOTTEN MEWS NE,20017,"$575,000","$575,000","$25,000",3,3,1,9/29/2017
4000 8TH ST NE #2,20017,"$349,555","$350,000",$500,1,1,0,9/19/2017
,,,,,,,,
3052 PINEVIEW CT NE #3052,20018,"$140,100","$121,000",$0,1,1,0,9/22/2017
3052 THAYER ST NE,20018,"$250,000","$308,750",$0,3,2,0,9/12/2017
1343 BRYANT ST NE #4,20018,"$319,000","$317,000",$0,2,1,0,9/28/2017
1343 BRYANT ST NE #2,20018,"$309,000","$309,000","$12,252",2,1,0,9/1/2017
4125 19TH ST NE,20018,"$869,000","$860,000","$23,000",5,5,1,9/29/2017
3108 APPLE RD NE #12,20018,"$265,000","$270,000","$5,000",3,1,1,9/8/2017
2207 DOUGLAS ST NE,20018,"$499,900","$460,000","$13,800",3,2,0,9/18/2017
3005 17TH ST NE,20018,"$719,900","$719,900","$18,000",4,3,0,9/15/2017
1230 RHODE ISLAND AVE NE,20018,"$799,000","$792,500","$22,000",4,3,1,9/6/2017
3049 CLINTON ST NE,20018,"$574,000","$565,000","$22,500",4,3,0,9/8/2017
2833 31ST PL NE #2833,20018,"$305,000","$295,000","$7,600",3,2,1,9/8/2017
3009 SOUTH DAKOTA AVE NE,20018,"$674,900","$660,000","$19,800",4,3,1,9/13/2017
1603 NEWTON ST NE,20018,"$599,999","$632,500","$3,500",3,2,1,9/1/2017
1813 RANDOLPH ST NE,20018,"$525,000","$540,000",$0,5,2,1,9/28/2017
4229 19TH ST NE,20018,"$650,000","$650,000",$0,3,2,2,9/27/2017
4124 20TH ST NE,20018,"$609,999","$625,000",$0,3,3,0,9/6/2017
2610 MYRTLE AVE NE,20018,"$849,555","$841,500",$0,4,3,1,9/8/2017
3109 APPLE RD NE #1,20018,"$269,900","$250,000",$0,3,2,1,9/8/2017
3138 APPLE RD NE #16,20018,"$234,900","$229,000","$7,000",2,1,0,9/13/2017
4213 19TH PL NE,20018,"$759,900","$775,000",$0,4,3,1,9/11/2017
3101 CHESTNUT ST NE,20018,"$350,000","$350,000",$0,2,2,0,9/15/2017
1916 SHEPHERD ST NE,20018,"$475,000","$490,000","$14,700",3,1,1,9/12/2017
3642 WRIGHT TRL NE,20018,"$545,000","$545,000","$16,350",3,2,1,9/18/2017
3723 COMMODORE JOSHUA BARNEY DR NE,20018,"$479,000","$484,000","$14,520",2,2,2,9/15/2017
3619 18TH ST NE,20018,"$559,900","$559,900","$6,000",3,3,1,9/11/2017
3124 APPLE RD NE #16,20018,"$299,000","$299,999","$4,000",3,2,0,9/18/2017
,,,,,,,,
4903 JUST ST NE,20019,"$90,000","$90,000","$5,000",2,1,0,9/14/2017
510 50TH ST NE,20019,"$245,000","$226,000",$0,2,1,1,9/29/2017
5643 CLAY PL NE,20019,"$190,000","$170,000",$0,4,2,0,9/22/2017
429 60TH ST NE ##1,20019,"$99,900","$100,000",$0,1,1,0,9/22/2017
4601 GRANT ST NE,20019,"$485,000","$480,000",$0,8,4,0,9/15/2017
5110 H ST SE,20019,"$385,000","$391,000","$11,730",4,3,0,9/22/2017
4504 NANNIE HELEN BURROUGHS AVE NE,20019,"$299,900","$299,900",$0,3,2,1,9/29/2017
128 57TH PL SE,20019,"$410,000","$410,000",$0,3,3,1,9/8/2017
5008 B ST SE,20019,"$379,000","$375,000","$7,500",4,3,0,9/14/2017
4247 EADS ST NE,20019,"$399,999","$399,000","$10,000",4,2,0,9/5/2017
5402 BLAINE ST NE,20019,"$239,999","$240,000",$0,3,1,0,9/7/2017
6132 BANKS PL NE,20019,"$168,000","$168,000",$0,2,1,1,9/6/2017
5253 BANKS PL NE,20019,"$335,000","$330,000",$0,3,2,0,9/29/2017
3421 BAKER ST NE,20019,"$235,000","$253,000","$7,590",2,1,1,9/8/2017
256 56TH PL NE,20019,"$254,900","$254,900","$4,408",2,1,0,9/8/2017
3807 MASSACHUSETTS AVE SE,20019,"$451,000","$447,000","$11,200",4,3,0,9/14/2017
4917 FOOTE ST NE,20019,"$429,000","$421,000","$1,400",6,3,0,9/29/2017
849 51ST ST NE,20019,"$334,900","$334,900","$10,500",3,2,0,9/21/2017
5722 FOOTE ST NE,20019,"$150,000","$150,000",$0,2,1,0,9/8/2017
4816 HAYES ST NE,20019,"$399,900","$410,000","$11,000",4,3,0,9/8/2017
1242 ANACOSTIA RD SE,20019,"$569,000","$549,000",$0,5,3,1,9/29/2017
553 45TH ST NE,20019,"$250,000","$230,000",$0,3,2,0,9/27/2017
4608 EASY PL SE,20019,"$398,000","$398,000","$10,000",3,2,1,9/29/2017
4502 TEXAS AVE SE,20019,"$335,000","$345,000",$0,2,2,0,9/8/2017
4448 ALABAMA AVE SE,20019,"$250,000","$275,000",$0,3,2,0,9/28/2017
4210 BENNING RD NE #3,20019,"$64,900","$85,000",$0,2,1,0,9/15/2017
3438 DIX ST NE,20019,"$385,000","$385,000",$0,3,2,0,9/22/2017
5300 CENTRAL AVE SE,20019,"$445,988","$428,000",$0,6,4,0,9/5/2017
1017 49TH ST NE,20019,"$319,999","$319,000","$1,500",3,2,0,9/14/2017
15 40TH ST NE,20019,"$289,000","$298,600","$8,958",3,2,0,9/7/2017
1205 42ND PL NE,20019,"$399,900","$405,000","$16,000",4,2,0,9/1/2017
5030 IVORY WALTERS LN SE,20019,"$357,975","$363,975","$6,000",3,2,1,9/22/2017
3321 DUBOIS PL SE,20019,"$375,000","$365,000","$5,000",3,2,0,9/22/2017
3354 BAKER ST NE,20019,"$200,000","$200,000","$4,000",2,1,1,9/15/2017
4414 DOUGLAS ST NE,20019,"$265,000","$212,500",$0,3,1,1,9/26/2017
3327 B ST SE,20019,"$339,900","$350,000",$0,3,2,0,9/27/2017
4513 EADS PL NE,20019,"$324,990","$325,000",$0,2,2,0,9/18/2017
823 52ND ST NE,20019,"$158,650","$158,650",$0,2,2,0,9/12/2017
718 HILLTOP TER SE,20019,"$389,900","$400,000","$8,000",3,3,1,9/20/2017
3233 ELY PL SE,20019,"$236,000","$236,000",$0,3,1,1,9/6/2017
113 34TH ST SE,20019,"$299,900","$309,000","$9,270",3,1,1,9/18/2017
5341 JAY ST NE,20019,"$349,000","$353,000",$0,4,3,0,9/22/2017
3315 AMES ST NE,20019,"$350,000","$375,000","$2,350",2,1,1,9/15/2017
4305 MASSACHUSETTS AVE SE,20019,"$455,000","$455,000",$0,4,3,0,9/25/2017
4341 F ST SE,20019,"$324,500","$330,000",$0,2,2,0,9/26/2017
527 59TH ST NE,20019,"$345,000","$302,000",$0,3,2,0,9/29/2017
5017 SHERIFF RD NE,20019,"$195,000","$213,000","$6,390",2,1,0,9/29/2017
4020 GRANT ST NE,20019,"$215,000","$206,000",$0,2,1,0,9/19/2017
4808 B ST SE,20019,"$199,000","$199,000",$0,2,1,0,9/1/2017
4684 A ST SE,20019,"$193,800","$203,000",$0,2,1,0,9/28/2017
,,,,,,,,
2425 18TH PL SE,20020,"$215,000","$206,000","$6,000",3,2,0,9/29/2017
2641 BOWEN RD SE #A,20020,"$199,987","$170,000",$0,2,1,0,9/22/2017
2301 IRVING ST SE,20020,"$395,000","$360,000",$0,3,3,0,9/25/2017
2665 MARTIN LUTHER KING JR. AVE SE #201,20020,"$139,900","$139,900",$900,2,1,0,9/15/2017
2801 BUENA VISTA TER SE,20020,"$324,900","$330,000",$0,3,2,1,9/29/2017
3821 V ST SE #101,20020,"$66,500","$80,000",$0,1,1,0,9/30/2017
2711 Q ST SE #203,20020,"$1,490","$1,490",$0,1,1,0,9/29/2017
2209 MINNESOTA AVE SE,20020,"$375,000","$350,000","$1,500",3,2,0,9/22/2017
2609 WADE RD SE,20020,"$200,000","$200,000",$0,4,2,0,9/29/2017
13081308 TALBERT CT SE #22B,20020,"$369,000","$358,000",$0,3,2,1,9/22/2017
1423 22ND ST SE,20020,"$387,000","$378,000","$9,000",3,2,1,9/26/2017
3031 30TH ST SE #5,20020,"$20,000","$22,000",$660,3,1,0,9/22/2017
2601 DOUGLASS RD SE #302,20020,"$220,000","$220,000","$5,350",2,2,0,9/4/2017
3937 S ST SE #8A,20020,"$75,000","$64,050",$0,2,1,0,9/15/2017
1711 FORT DAVIS ST SE,20020,"$299,900","$305,500","$5,500",3,2,0,9/22/2017
1742 GALEN ST SE,20020,"$286,000","$275,500","$5,500",3,2,1,9/8/2017
1611 Q ST SE,20020,"$249,995","$250,000",$0,3,1,0,9/25/2017
1853 BRUCE PL SE,20020,"$324,900","$325,000",$0,3,3,0,9/14/2017
3012 22ND ST SE,20020,"$319,900","$305,000","$2,450",2,2,0,9/1/2017
2640 STANTON RD SE,20020,"$205,000","$207,000",$0,2,1,0,9/12/2017
1950 NAYLOR RD SE #203,20020,"$155,000","$161,000","$4,830",2,1,0,9/30/2017
1900 18TH ST SE,20020,"$254,400","$268,000",$0,3,1,1,9/29/2017
2320 CHESTER ST SE #102,20020,"$64,500","$67,725",$0,2,1,0,9/26/2017
